0.0005874,7.327
0.0005874,-6.043
0.0005874,-0.428
0.002937,3.110
0.002937,-2.340
0.002937,3.103
0.01468,-11.981
0.01468,-4.885
0.01468,-0.566
0.03283,-4.475
0.03283,-5.747
0.03283,-1.660
0.07341,-4.922
0.07341,-4.183
0.07341,-0.981
0.1642,6.090
0.1642,-10.287
0.1642,-1.919
0.3670,-11.767
0.3670,-5.345
0.3670,-7.134
0.8207,-3.393
0.8207,-2.099
0.8207,-4.490
1.835,-6.812
1.835,-5.808
1.835,-9.666
4.103,-0.600
4.103,-5.707
4.103,-4.203
9.175,4.313
9.175,-8.110
9.175,0.388
20.52,-10.838
20.52,-22.657
20.52,3.820
45.87,-34.218
45.87,-30.895
45.87,-23.929
91.74,-30.911
91.74,-44.233
91.74,-36.776
